Date,FTSE,Date,SP
1/3/1984,997.5,1/3/1984,164.039993
1/4/1984,998.599976,1/4/1984,166.779999
1/5/1984,1015.799988,1/5/1984,168.809998
1/6/1984,1029,1/6/1984,169.279999
1/9/1984,1034.599976,1/9/1984,168.899994
1/10/1984,1034.300049,1/10/1984,167.949997
1/11/1984,1023.400024,1/11/1984,167.800003
1/12/1984,1031.300049,1/12/1984,167.75
1/13/1984,1042.699951,1/13/1984,167.020004
1/16/1984,1046,1/16/1984,167.179993
1/17/1984,1041.900024,1/17/1984,167.830002
1/18/1984,1058.699951,1/18/1984,167.550003
1/19/1984,1057.800049,1/19/1984,167.039993
1/20/1984,1059,1/20/1984,166.210007
1/23/1984,1046.800049,1/23/1984,164.869995
1/24/1984,1055.199951,1/24/1984,165.940002
1/25/1984,1073.5,1/25/1984,164.839996
1/26/1984,1072.099976,1/26/1984,164.240005
1/27/1984,1075.900024,1/27/1984,163.940002
1/30/1984,1068.599976,1/30/1984,162.869995
1/31/1984,1063,1/31/1984,163.410004
2/1/1984,1060.300049,2/1/1984,162.740005
2/2/1984,1050.800049,2/2/1984,163.360001
2/3/1984,1059.800049,2/3/1984,160.910004
2/6/1984,1038.199951,2/6/1984,158.080002
2/7/1984,1021.700012,2/7/1984,158.740005
2/8/1984,1029.699951,2/8/1984,155.850006
2/9/1984,1016.900024,2/9/1984,155.419998
2/10/1984,1018,2/10/1984,156.300003
2/13/1984,1018.299988,2/13/1984,154.949997
2/14/1984,1027,2/14/1984,156.610001
2/15/1984,1033,2/15/1984,156.25
2/16/1984,1035,2/16/1984,156.130005
2/17/1984,1039,2/17/1984,155.740005
2/20/1984,1035.400024,2/21/1984,154.639999
2/21/1984,1044.400024,2/22/1984,154.309998
2/22/1984,1043,2/23/1984,154.289993
2/23/1984,1031.699951,2/24/1984,157.509995
2/24/1984,1036.900024,2/27/1984,159.300003
2/27/1984,1041.300049,2/28/1984,156.820007
2/28/1984,1039.199951,2/29/1984,157.059998
2/29/1984,1040.300049,3/1/1984,158.190002
3/1/1984,1046.099976,3/2/1984,159.240005
3/2/1984,1060.699951,3/5/1984,157.889999
3/5/1984,1053.699951,3/6/1984,156.25
3/6/1984,1064.5,3/7/1984,154.570007
3/7/1984,1055.599976,3/8/1984,155.190002
3/8/1984,1055.800049,3/9/1984,154.350006
3/9/1984,1060.099976,3/12/1984,156.339996
3/12/1984,1063.599976,3/13/1984,156.779999
3/13/1984,1082.5,3/14/1984,156.770004
3/14/1984,1087.699951,3/15/1984,157.410004
3/15/1984,1101.099976,3/16/1984,159.270004
3/16/1984,1128.5,3/19/1984,157.779999
3/19/1984,1109.699951,3/20/1984,158.860001
3/20/1984,1123.300049,3/21/1984,158.660004
3/21/1984,1130.699951,3/22/1984,156.690002
3/22/1984,1117.199951,3/23/1984,156.860001
3/23/1984,1121.300049,3/26/1984,156.669998
3/26/1984,1119.699951,3/27/1984,157.300003
3/27/1984,1101.900024,3/28/1984,159.880005
3/28/1984,1103.599976,3/29/1984,159.520004
3/29/1984,1113.599976,3/30/1984,159.179993
3/30/1984,1112.5,4/2/1984,157.979996
4/2/1984,1108.099976,4/3/1984,157.660004
4/3/1984,1095.400024,4/4/1984,157.539993
4/4/1984,1093.599976,4/5/1984,155.039993
4/5/1984,1102.199951,4/6/1984,155.479996
4/6/1984,1096.300049,4/9/1984,155.449997
4/9/1984,1096.699951,4/10/1984,155.869995
4/10/1984,1105.400024,4/11/1984,155
4/11/1984,1110.599976,4/12/1984,157.729996
4/12/1984,1117,4/13/1984,157.309998
4/13/1984,1129.099976,4/16/1984,158.320007
4/16/1984,1105.900024,4/17/1984,158.970001
4/17/1984,1110.199951,4/18/1984,157.899994
4/18/1984,1116.199951,4/19/1984,158.020004
4/19/1984,1108.400024,4/23/1984,156.800003
4/20/1984,1108.400024,4/24/1984,158.070007
4/23/1984,1108.400024,4/25/1984,158.649994
4/24/1984,1105.400024,4/26/1984,160.300003
4/25/1984,1119.800049,4/27/1984,159.889999
4/26/1984,1130.900024,4/30/1984,160.050003
4/27/1984,1138.199951,5/1/1984,161.679993
4/30/1984,1138.300049,5/2/1984,161.899994
5/1/1984,1136.800049,5/3/1984,161.199997
5/2/1984,1140.099976,5/4/1984,159.110001
5/3/1984,1141.5,5/7/1984,159.470001
5/4/1984,1134,5/8/1984,160.520004
5/7/1984,1134,5/9/1984,160.110001
5/8/1984,1117.599976,5/10/1984,160
5/9/1984,1109.900024,5/11/1984,158.490005
5/10/1984,1094.400024,5/14/1984,157.5
5/11/1984,1078.699951,5/15/1984,158
5/14/1984,1082.400024,5/16/1984,157.990005
5/15/1984,1094.599976,5/17/1984,156.570007
5/16/1984,1104.5,5/18/1984,155.779999
5/17/1984,1113,5/21/1984,154.729996
5/18/1984,1104.900024,5/22/1984,153.880005
5/21/1984,1108.699951,5/23/1984,153.149994
5/22/1984,1084.599976,5/24/1984,151.229996
5/23/1984,1075.400024,5/25/1984,151.619995
5/24/1984,1051.599976,5/29/1984,150.289993
5/25/1984,1055.5,5/30/1984,150.350006
5/28/1984,1055.5,5/31/1984,150.550003
5/29/1984,1056.099976,6/1/1984,153.240005
5/30/1984,1026.599976,6/4/1984,154.339996
5/31/1984,1021,6/5/1984,153.649994
6/1/1984,1055.800049,6/6/1984,155.009995
6/4/1984,1078,6/7/1984,154.919998
